Synonymous Differences
,JAKTYT010005082_1:271-1099-,JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,JAKTYT010005553_1:438-990+,JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,MTJM01000008_1:3737-5378+,JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,MTJM01000036_1:17378-19019-,ANFW02000036_1:17373-19014-,JAJMIJ010000392_1:289-1930-,JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,JAKTUL010000268_1:429-2070-,ANFW02000008_1:3739-5380+,JAKTUL010000135_1:0-1395+,VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,JAKTYT010010019_1:1-499-,JAKTYT010010026_1:1-499-
JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,2,3,0,0,6,4,8,15,1,0,4,4,3,6,5,5,5,4,4,4,0,2,2
MTJM01000008_1:3737-5378+,3,39,6,6,0,9,16,21,7,1,8,6,11,13,15,11,11,8,8,7,1,7,7
JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,3,38,4,4,9,0,11,18,4,0,4,5,7,8,11,6,6,5,5,4,1,4,2
VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,8,42,5,8,16,11,0,20,7,0,11,12,11,15,14,13,13,11,11,10,4,3,3
VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,12,47,7,15,21,18,20,0,5,0,17,20,18,21,22,19,19,20,20,19,11,5,7
JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,0,23,7,1,7,4,7,5,0,0,3,6,6,7,9,6,6,5,5,3,0,4,3
JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,0,30,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,3,37,4,4,8,4,11,17,3,0,0,5,7,6,11,6,6,5,5,4,0,4,4
MTJM01000036_1:17378-19019-,2,37,5,4,6,5,12,20,6,0,5,0,8,9,12,7,7,6,6,4,0,5,5
ANFW02000036_1:17373-19014-,3,39,6,3,11,7,11,18,6,1,7,8,0,11,9,9,9,4,4,2,0,6,6
JAJMIJ010000392_1:289-1930-,3,38,8,6,13,8,15,21,7,0,6,9,11,0,15,8,8,9,9,8,0,6,6
JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,5,40,9,5,15,11,14,22,9,0,11,12,9,15,0,13,13,11,11,9,0,7,7
JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,4,39,5,5,11,6,13,19,6,0,6,7,9,8,13,0,0,7,7,6,0,2,4
JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,4,39,5,5,11,6,13,19,6,0,6,7,9,8,13,0,0,7,7,6,0,2,4
JAKTUL010000268_1:429-2070-,3,38,5,4,8,5,11,20,5,1,5,6,4,9,11,7,7,0,0,0,0,5,5
ANFW02000008_1:3739-5380+,3,38,5,4,8,5,11,20,5,1,5,6,4,9,11,7,7,0,0,0,0,5,5
JAKTUL010000135_1:0-1395+,3,8,2,4,7,4,10,19,3,0,4,4,2,8,9,6,6,0,0,0,0,5,5
VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,1,1,0,0,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAKTYT010010019_1:1-499-,0,0,0,2,7,4,3,5,4,0,4,5,6,6,7,2,2,5,5,5,0,0,2
JAKTYT010010026_1:1-499-,0,1,0,2,7,2,3,7,3,0,4,5,6,6,7,4,4,5,5,5,0,2,0

Omega (dN/dS)
,JAKTYT010005082_1:271-1099-,JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,JAKTYT010005553_1:438-990+,JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,MTJM01000008_1:3737-5378+,JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,MTJM01000036_1:17378-19019-,ANFW02000036_1:17373-19014-,JAJMIJ010000392_1:289-1930-,JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,JAKTUL010000268_1:429-2070-,ANFW02000008_1:3739-5380+,JAKTUL010000135_1:0-1395+,VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,JAKTYT010010019_1:1-499-,JAKTYT010010026_1:1-499-
JAKTYT010005082_1:271-1099-,,0.214,0,0.118,0.188,0.231,0.258,1.5,0,0,0.231,0.2,0.214,0.15,0.333,0.286,0.286,0.231,0.2,0.231,0.125,0,0
JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,0.214,,3.182,0.158,1.182,1.086,0.955,1.958,1.917,4.286,1.321,1.37,1.182,1.118,1.212,1.182,1.182,1.226,1.152,0.364,0.1,0.0,0.167
JAKTYT010005553_1:438-990+,0,3.182,,0,1.5,0.8,0.278,1.167,1.167,2.0,0.667,2.5,1.5,2.0,1.125,0.833,0.833,1.0,1.0,1.0,0,0,0
JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,0.118,0.158,0,,0.25,0.143,0.2,1.071,1.0,0,0.174,0.19,0.097,0.24,0.192,0.179,0.179,0.16,0.148,0.16,0.0,0.222,0.222
MTJM01000008_1:3737-5378+,0.188,1.182,1.5,0.25,,0.45,0.262,1.167,1.167,1.0,0.348,0.375,0.478,0.542,0.577,0.407,0.407,0.571,1.0,0.5,0.111,1.4,1.167
JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,0.231,1.086,0.8,0.143,0.45,,0.162,0.857,0.5,0.0,0.133,0.333,0.259,0.25,0.423,0.214,0.214,0.294,0.263,0.235,0.125,0.444,0.333
VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,0.258,0.955,0.278,0.2,0.262,0.162,,0.444,0.333,0.0,0.183,0.207,0.169,0.246,0.25,0.228,0.228,0.18,0.18,0.204,0.25,0.13,0.158
VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,1.5,1.958,1.167,1.071,1.167,0.857,0.444,,0.5,0.0,1.133,1.429,0.857,1.105,1.048,0.704,0.704,1.25,1.25,1.357,11.0,0.625,1.167
JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,0,1.917,1.167,1.0,1.167,0.5,0.333,0.5,,0.0,0.273,1.0,0.545,0.538,0.75,0.667,0.667,0.714,0.714,1.0,0,0.8,1.0
JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,0,4.286,2.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0,Inf,0,0.0,0,0,1.0,1.0,0,0,0,0
NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,0.231,1.321,0.667,0.174,0.348,0.133,0.183,1.133,0.273,0.0,,0.294,0.269,0.214,0.333,0.182,0.182,0.2,0.185,0.19,0.0,0.444,0.364
MTJM01000036_1:17378-19019-,0.2,1.37,2.5,0.19,0.375,0.333,0.207,1.429,1.0,0,0.294,,0.533,0.409,0.571,0.368,0.368,0.5,0.429,0.364,0.0,0.833,1.0
ANFW02000036_1:17373-19014-,0.214,1.182,1.5,0.097,0.478,0.259,0.169,0.857,0.545,Inf,0.269,0.533,,0.367,0.273,0.36,0.36,0.4,0.25,0.25,0.0,0.667,0.6
JAJMIJ010000392_1:289-1930-,0.15,1.118,2.0,0.24,0.542,0.25,0.246,1.105,0.538,0,0.214,0.409,0.367,,0.484,0.267,0.267,0.31,0.31,0.286,0.0,0.5,0.462
JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,0.333,1.212,1.125,0.192,0.577,0.423,0.25,1.048,0.75,0.0,0.333,0.571,0.273,0.484,,0.433,0.433,0.44,0.423,0.429,0.0,0.778,1.167
JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,0.286,1.182,0.833,0.179,0.407,0.214,0.228,0.704,0.667,0,0.182,0.368,0.36,0.267,0.433,,0,0.28,0.28,0.25,0.0,0.143,0.333
JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,0.286,1.182,0.833,0.179,0.407,0.214,0.228,0.704,0.667,0,0.182,0.368,0.36,0.267,0.433,0,,0.28,0.28,0.25,0.0,0.143,0.333
JAKTUL010000268_1:429-2070-,0.231,1.226,1.0,0.16,0.571,0.294,0.18,1.25,0.714,1.0,0.2,0.5,0.4,0.31,0.44,0.28,0.28,,0.0,0,0.0,0.714,0.833
ANFW02000008_1:3739-5380+,0.2,1.152,1.0,0.148,1.0,0.263,0.18,1.25,0.714,1.0,0.185,0.429,0.25,0.31,0.423,0.28,0.28,0.0,,0.0,0.0,0.714,0.833
JAKTUL010000135_1:0-1395+,0.231,0.364,1.0,0.16,0.5,0.235,0.204,1.357,1.0,0,0.19,0.364,0.25,0.286,0.429,0.25,0.25,0,0.0,,0.0,0.714,0.833
VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,0.125,0.1,0,0.0,0.111,0.125,0.25,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
JAKTYT010010019_1:1-499-,0,0.0,0,0.222,1.4,0.444,0.13,0.625,0.8,0,0.444,0.833,0.667,0.5,0.778,0.143,0.143,0.714,0.714,0.714,0,,0.286
JAKTYT010010026_1:1-499-,0,0.167,0,0.222,1.167,0.333,0.158,1.167,1.0,0,0.364,1.0,0.6,0.462,1.167,0.333,0.333,0.833,0.833,0.833,0,0.286,

Overall Omega,0.468
