Synonymous Differences
,ANFW02000036_1:20724-21084-,ANFW02000036_1:19645-20770-,VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,MTJM01000036_1:19651-21091-,JAJMIJ010000392_1:2545-3985-,JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,JAKTYT010000725_1:318-1755-,JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,JAKTUL010000268_1:2702-4142-,JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,ANFW02000008_1:1667-3107+,MTJM01000008_1:1667-3107+
JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,7,12,10,9,9,9,8,11,5,5,5,4,0,8,6,4,5
JAKTUL010000268_1:2702-4142-,5,10,11,13,13,11,7,11,7,9,7,8,8,0,4,4,3
JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,7,12,10,11,11,9,8,11,5,7,7,6,6,4,0,2,3
ANFW02000008_1:1667-3107+,7,12,10,9,9,9,8,10,5,5,5,4,4,4,2,0,1
MTJM01000008_1:1667-3107+,6,12,11,10,10,10,7,9,6,6,6,5,5,3,3,1,0

Omega (dN/dS)
,ANFW02000036_1:20724-21084-,ANFW02000036_1:19645-20770-,VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,MTJM01000036_1:19651-21091-,JAJMIJ010000392_1:2545-3985-,JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,JAKTYT010000725_1:318-1755-,JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,JAKTUL010000268_1:2702-4142-,JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,ANFW02000008_1:1667-3107+,MTJM01000008_1:1667-3107+
ANFW02000036_1:20724-21084-,,3.667,0.5,1.0,1.0,0.875,1.0,3.0,0.75,0.889,1.0,1.0,0.7,1.25,0.875,0.7,0.857
ANFW02000036_1:19645-20770-,3.667,,0.311,0.941,0.941,0.938,0.591,1.182,0.75,0.632,0.476,0.733,0.48,0.714,0.706,0.706,0.857
VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,0.5,0.311,,0.259,0.259,0.21,0.194,0.286,0.161,0.193,0.169,0.182,0.161,0.18,0.161,0.161,0.186
JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,1.0,0.941,0.259,,0,0.632,0.464,0.64,0.381,0.348,0.435,0.375,0.29,0.481,0.458,0.375,0.5
JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,1.0,0.941,0.259,0,,0.632,0.464,0.64,0.381,0.348,0.435,0.375,0.29,0.481,0.458,0.375,0.5
JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,0.875,0.938,0.21,0.632,0.632,,0.423,0.6,0.32,0.455,0.345,0.375,0.265,0.458,0.45,0.45,0.526
VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,1.0,0.591,0.194,0.464,0.464,0.423,,0.545,0.368,0.5,0.3,0.381,0.286,0.292,0.4,0.348,0.333
MTJM01000036_1:19651-21091-,3.0,1.182,0.286,0.64,0.64,0.6,0.545,,0.688,0.545,0.429,0.44,0.44,0.524,0.5,0.385,0.45
JAJMIJ010000392_1:2545-3985-,0.75,0.75,0.161,0.381,0.381,0.32,0.368,0.688,,0.316,0.222,0.238,0.238,0.25,0.238,0.2,0.261
JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,0.889,0.632,0.193,0.348,0.348,0.455,0.5,0.545,0.316,,0.148,0.238,0.227,0.31,0.389,0.2,0.261
NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,1.0,0.476,0.169,0.435,0.435,0.345,0.3,0.429,0.222,0.148,,0.192,0.152,0.233,0.241,0.161,0.222
JAKTYT010000725_1:318-1755-,1.0,0.733,0.182,0.375,0.375,0.375,0.381,0.44,0.238,0.238,0.192,,0.174,0.533,0.3,0.25,0.25
JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,0.7,0.48,0.161,0.29,0.29,0.265,0.286,0.44,0.238,0.227,0.152,0.174,,0.258,0.273,0.148,0.161
JAKTUL010000268_1:2702-4142-,1.25,0.714,0.18,0.481,0.481,0.458,0.292,0.524,0.25,0.31,0.233,0.533,0.258,,0.267,0.444,0.231
JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,0.875,0.706,0.161,0.458,0.458,0.45,0.4,0.5,0.238,0.389,0.241,0.3,0.273,0.267,,0.25,0.375
ANFW02000008_1:1667-3107+,0.7,0.706,0.161,0.375,0.375,0.45,0.348,0.385,0.2,0.2,0.161,0.25,0.148,0.444,0.25,,0.167
MTJM01000008_1:1667-3107+,0.857,0.857,0.186,0.5,0.5,0.526,0.333,0.45,0.261,0.261,0.222,0.25,0.161,0.231,0.375,0.167,

Overall Omega,0.364
