Synonymous Differences
,JAKTYT010005082_1:0-258+,VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,JAKTUL010000135_1:1408-2365-,ANFW02000008_1:5393-6350-,JAKTUL010000268_1:2-416+,JAJMHS010000047_1:8107-9064+,JAKTYM010000112_1:8358-9315+,JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,MTJM01000008_1:5391-6348-,MTJM01000036_1:16408-17365+,JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,ANFW02000036_1:16403-17360+,NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,JAJMIJ010000102_1:1-880-,JAJMIJ010000392_1:0-276+
JAKTYT010005082_1:0-258+,,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,0.067,,0.179,0.179,0.1,0.222,0.222,0.222,0.25,0.282,0.27,0.25,0.324,0.27,0.238,0.243,0.273,0.286,0.067
JAKTUL010000135_1:1408-2365-,0.0,0.179,,0,0,0.105,0.105,0.118,0.273,0.294,0.167,0.19,0.353,0.222,0.19,0.167,0.2,0.222,0.0
ANFW02000008_1:5393-6350-,0.0,0.179,0,,0,0.105,0.105,0.118,0.273,0.294,0.167,0.19,0.353,0.222,0.19,0.167,0.2,0.222,0.0
JAKTUL010000268_1:2-416+,0.0,0.1,0,0,,0.125,0.125,0.125,0.143,0.125,0.167,0.3,0.111,0.286,0.333,0.222,0.4,0.4,0.0
JAJMHS010000047_1:8107-9064+,0.0,0.222,0.105,0.105,0.125,,0,0.0,0.053,0.167,0.182,0.091,0.267,0.154,0.095,0.059,0.143,0.133,0.0
JAKTYM010000112_1:8358-9315+,0.0,0.222,0.105,0.105,0.125,0,,0.0,0.053,0.167,0.182,0.091,0.267,0.154,0.095,0.059,0.143,0.133,0.0
JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,0.0,0.222,0.118,0.118,0.125,0.0,0.0,,0.053,0.167,0.154,0.091,0.235,0.154,0.095,0.059,0.154,0.133,0.0
MTJM01000008_1:5391-6348-,0.0,0.25,0.273,0.273,0.143,0.053,0.053,0.053,,0.2,0.167,0.273,0.294,0.188,0.188,0.167,0.188,0.176,0.0
MTJM01000036_1:16408-17365+,0,0.282,0.294,0.294,0.125,0.167,0.167,0.167,0.2,,0.455,0.357,0.467,0.556,0.357,0.364,0.357,0.357,0.0
JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,0.0,0.27,0.167,0.167,0.167,0.182,0.182,0.154,0.167,0.455,,0.105,0.4,0.2,0.118,0.071,0.267,0.133,0.0
JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,0.0,0.25,0.19,0.19,0.3,0.091,0.091,0.091,0.273,0.357,0.105,,0.333,0.118,0.118,0.067,0.308,0.111,0.0
JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,0.0,0.324,0.353,0.353,0.111,0.267,0.267,0.235,0.294,0.467,0.4,0.333,,0.375,0.333,0.263,0.353,0.375,0.0
VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,0.0,0.27,0.222,0.222,0.286,0.154,0.154,0.154,0.188,0.556,0.2,0.118,0.375,,0.143,0.167,0.308,0.167,0.0
ANFW02000036_1:16403-17360+,0.0,0.238,0.19,0.19,0.333,0.095,0.095,0.095,0.188,0.357,0.118,0.118,0.333,0.143,,0.056,0.364,0.118,0.0
NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,0.0,0.243,0.167,0.167,0.222,0.059,0.059,0.059,0.167,0.364,0.071,0.067,0.263,0.167,0.056,,0.2,0.071,0.0
JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,0,0.273,0.2,0.2,0.4,0.143,0.143,0.154,0.188,0.357,0.267,0.308,0.353,0.308,0.364,0.2,,0.222,0.0
JAJMIJ010000102_1:1-880-,0.0,0.286,0.222,0.222,0.4,0.133,0.133,0.133,0.176,0.357,0.133,0.111,0.375,0.167,0.118,0.071,0.222,,0
JAJMIJ010000392_1:0-276+,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,

Overall Omega,0.195
