Synonymous Differences
,MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,JAJMCQ010004863_1:1-1030-,JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,ANFW02000036_1:21692-23066+,MTJM01000036_1:21699-23073+,JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,JAJMCQ010000818_1:6611-7955-,JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,JAJMCQ010005592_1:0-48+,JAJMCQ010002651_1:0-48+,JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,JAKTYT010002041_1:2-836+,JAJMIJ010000392_1:4594-5968+,JAKTYT010006626_1:142-799+,JAKTYT010005670_1:134-968-,JAKTUL010000268_1:4750-6124+,MTJM01000008_1:0-1059-,ANFW02000008_1:0-1059-
MTJM01000036_1:21699-23073+,2,2,7,28,10,13,12,11,11,6,0,13,19,17,37,77,13,7,4,6,0,0,12,10,19,8,10,7,4,4
JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,2,2,7,31,9,13,12,14,14,11,13,0,20,20,43,79,18,6,2,7,0,0,14,9,20,10,13,8,7,7
VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,2,2,9,31,9,15,13,16,16,22,19,20,0,25,43,83,18,18,5,17,2,2,11,12,23,8,14,19,12,12
NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,2,2,5,28,9,14,13,16,16,17,17,20,25,0,45,78,19,19,6,18,1,1,8,15,21,6,17,20,11,11
VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,5,5,6,28,9,11,31,36,36,38,37,43,43,45,0,81,36,26,6,25,0,0,31,22,44,20,24,37,31,31
JAJMCQ010000818_1:6611-7955-,3,3,6,22,9,11,53,79,79,77,77,79,83,78,81,0,75,70,17,69,6,6,44,53,79,25,51,78,54,54
JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,2,2,7,26,8,13,8,17,17,15,13,18,18,19,36,75,0,17,5,16,0,0,10,12,22,8,12,16,11,11
ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,3,3,3,30,10,13,12,9,9,4,7,6,18,19,26,70,17,0,2,1,0,0,12,8,15,7,12,1,0,0
JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,0,0,0,2,3,13,0,3,3,4,4,2,5,6,6,17,5,2,0,2,0,0,0,2,2,0,5,3,0,0
MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,3,3,3,29,10,13,12,8,8,5,6,7,17,18,25,69,16,1,2,0,0,0,12,7,14,7,11,2,0,0
JAJMCQ010005592_1:0-48+,0,0,0,0,3,3,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAJMCQ010002651_1:0-48+,0,0,0,0,3,3,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,2,2,5,9,7,0,12,10,10,13,12,14,11,8,31,44,10,12,0,12,0,0,0,5,14,8,6,13,13,13
JAKTYT010002041_1:2-836+,0,0,0,29,10,13,6,10,10,12,10,9,12,15,22,53,12,8,2,7,0,0,5,0,3,0,12,9,6,6
JAJMIJ010000392_1:4594-5968+,2,2,7,31,9,13,18,18,18,21,19,20,23,21,44,79,22,15,2,14,0,0,14,3,0,4,13,18,13,13
JAKTYT010006626_1:142-799+,3,3,7,0,1,0,12,8,8,8,8,10,8,6,20,25,8,7,0,7,0,0,8,0,4,0,0,8,8,8
JAKTYT010005670_1:134-968-,0,0,0,28,10,13,8,14,14,12,10,13,14,17,24,51,12,12,5,11,0,0,6,12,13,0,0,11,8,8
JAKTUL010000268_1:4750-6124+,3,3,7,30,10,13,14,11,11,3,7,8,19,20,37,78,16,1,3,2,0,0,13,9,18,8,11,0,0,0
MTJM01000008_1:0-1059-,3,3,7,20,7,0,14,7,7,1,4,7,12,11,31,54,11,0,0,0,0,0,13,6,13,8,8,0,0,0
ANFW02000008_1:0-1059-,3,3,7,20,7,0,14,7,7,1,4,7,12,11,31,54,11,0,0,0,0,0,13,6,13,8,8,0,0,0

Nonsynonymous Differences
,MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,JAJMCQ010004863_1:1-1030-,JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,ANFW02000036_1:21692-23066+,MTJM01000036_1:21699-23073+,JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,JAJMCQ010000818_1:6611-7955-,JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,JAJMCQ010005592_1:0-48+,JAJMCQ010002651_1:0-48+,JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,JAKTYT010002041_1:2-836+,JAJMIJ010000392_1:4594-5968+,JAKTYT010006626_1:142-799+,JAKTYT010005670_1:134-968-,JAKTUL010000268_1:4750-6124+,MTJM01000008_1:0-1059-,ANFW02000008_1:0-1059-
MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,0,0,11,0,0,0,6,6,6,6,6,6,6,6,6,7,6,6,0,6,0,0,6,0,5,5,0,5,5,5
ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,0,0,11,0,0,0,6,6,6,6,6,6,6,6,6,7,6,6,0,6,0,0,6,0,5,5,0,5,5,5
VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,11,11,0,0,0,0,13,12,12,12,12,12,12,14,12,16,13,4,0,4,0,0,14,0,13,13,0,13,13,13
VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,0,0,0,0,0,0,25,34,34,35,35,36,34,35,34,29,33,34,3,33,0,0,13,33,33,0,33,34,23,23
VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,0,0,0,0,0,7,10,17,17,17,17,17,17,18,18,16,30,17,7,17,7,7,10,16,17,4,17,17,10,10
VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,0,0,0,0,7,0,0,7,7,6,6,6,7,6,7,6,6,6,7,6,1,1,0,8,7,0,7,6,0,0
JAJMCQ010004863_1:1-1030-,6,6,13,25,10,0,0,10,10,11,9,11,9,17,19,37,58,10,0,10,0,0,13,4,14,9,3,11,11,11
JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,6,6,12,34,17,7,10,0,0,10,7,10,4,14,16,49,56,8,0,7,0,0,9,3,8,5,2,8,6,6
JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,6,6,12,34,17,7,10,0,0,10,7,10,4,14,16,49,56,8,0,7,0,0,9,3,8,5,2,8,6,6
ANFW02000036_1:21692-23066+,6,6,12,35,17,6,11,10,10,0,3,9,10,14,19,49,57,7,2,6,0,0,10,7,12,5,4,6,3,3
MTJM01000036_1:21699-23073+,6,6,12,35,17,6,9,7,7,3,0,8,7,13,17,49,56,7,1,6,0,0,10,6,11,5,3,7,5,5
JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,6,6,12,36,17,6,11,10,10,9,8,0,10,12,18,48,57,7,1,8,0,0,8,7,10,3,6,6,6,6
VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,6,6,12,34,17,7,9,4,4,10,7,10,0,14,16,48,55,8,0,7,0,0,8,2,6,4,3,8,5,5
NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,6,6,14,35,18,6,17,14,14,14,13,12,14,0,25,51,57,13,1,12,0,0,7,9,16,9,8,12,10,10
VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,6,6,12,34,18,7,19,16,16,19,17,18,16,25,0,53,65,14,0,13,0,0,18,7,14,7,6,17,15,15
JAJMCQ010000818_1:6611-7955-,7,7,16,29,16,6,37,49,49,49,49,48,48,51,53,0,95,38,7,37,0,0,24,33,47,14,32,48,32,32
JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,6,6,13,33,30,6,58,56,56,57,56,57,55,57,65,95,0,56,1,55,0,0,56,35,57,52,35,55,53,53
ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,6,6,4,34,17,6,10,8,8,7,7,7,8,13,14,38,56,0,1,1,0,0,8,4,9,5,3,1,1,1
JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,0,0,0,3,7,7,0,0,0,2,1,1,0,1,0,7,1,1,0,1,0,0,0,1,0,0,0,1,0,0
MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,6,6,4,33,17,6,10,7,7,6,6,8,7,12,13,37,55,1,1,0,0,0,8,3,8,5,2,2,1,1
JAJMCQ010005592_1:0-48+,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JAJMCQ010002651_1:0-48+,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,6,6,14,13,10,0,13,9,9,10,10,8,8,7,18,24,56,8,0,8,0,0,0,3,10,7,2,9,9,9
JAKTYT010002041_1:2-836+,0,0,0,33,16,8,4,3,3,7,6,7,2,9,7,33,35,4,1,3,1,1,3,0,2,0,3,4,1,1
JAJMIJ010000392_1:4594-5968+,5,5,13,33,17,7,14,8,8,12,11,10,6,16,14,47,57,9,0,8,0,0,10,2,0,0,3,8,6,6
JAKTYT010006626_1:142-799+,5,5,13,0,4,0,9,5,5,5,5,3,4,9,7,14,52,5,0,5,0,0,7,0,0,0,0,4,4,4
JAKTYT010005670_1:134-968-,0,0,0,33,17,7,3,2,2,4,3,6,3,8,6,32,35,3,0,2,0,0,2,3,3,0,0,3,0,0
JAKTUL010000268_1:4750-6124+,5,5,13,34,17,6,11,8,8,6,7,6,8,12,17,48,55,1,1,2,0,0,9,4,8,4,3,0,0,0
MTJM01000008_1:0-1059-,5,5,13,23,10,0,11,6,6,3,5,6,5,10,15,32,53,1,0,1,0,0,9,1,6,4,0,0,0,0
ANFW02000008_1:0-1059-,5,5,13,23,10,0,11,6,6,3,5,6,5,10,15,32,53,1,0,1,0,0,9,1,6,4,0,0,0,0

Omega (dN/dS)
,MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,JAJMCQ010004863_1:1-1030-,JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,ANFW02000036_1:21692-23066+,MTJM01000036_1:21699-23073+,JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,JAJMCQ010000818_1:6611-7955-,JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,JAJMCQ010005592_1:0-48+,JAJMCQ010002651_1:0-48+,JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,JAKTYT010002041_1:2-836+,JAJMIJ010000392_1:4594-5968+,JAKTYT010006626_1:142-799+,JAKTYT010005670_1:134-968-,JAKTUL010000268_1:4750-6124+,MTJM01000008_1:0-1059-,ANFW02000008_1:0-1059-
MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,,0,5.5,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2,2.333,3.0,2.0,0,2.0,0,0,3.0,0,2.5,1.667,0,1.667,1.667,1.667
ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,0,,5.5,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2,2.333,3.0,2.0,0,2.0,0,0,3.0,0,2.5,1.667,0,1.667,1.667,1.667
VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,5.5,5.5,,0,0,0,1.857,1.714,1.714,1.714,1.714,1.714,1.333,2.8,2.0,2.667,1.857,1.333,0,1.333,0,0,2.8,0,1.857,1.857,0,1.857,1.857,1.857
VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,0,0,0,,0,0,1.389,1.214,1.214,1.25,1.25,1.161,1.097,1.25,1.214,1.318,1.269,1.133,1.5,1.138,0,0,1.444,1.138,1.065,0,1.179,1.133,1.15,1.15
VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,0,0,0,0,,2.333,1.667,2.125,2.125,1.7,1.7,1.889,1.889,2.0,2.0,1.778,3.75,1.7,2.333,1.7,2.333,2.333,1.429,1.6,1.889,4.0,1.7,1.7,1.429,1.429
VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,0,0,0,0,2.333,,0,0.538,0.538,0.462,0.462,0.462,0.467,0.429,0.636,0.545,0.462,0.462,0.538,0.462,0.333,0.333,0,0.615,0.538,0,0.538,0.462,0,0
JAJMCQ010004863_1:1-1030-,3.0,3.0,1.857,1.389,1.667,0,,0.833,0.833,0.846,0.75,0.917,0.692,1.308,0.613,0.698,7.25,0.833,0,0.833,0,0,1.083,0.667,0.778,0.75,0.375,0.786,0.786,0.786
JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,3.0,3.0,1.714,1.214,2.125,0.538,0.833,,0,0.909,0.636,0.714,0.25,0.875,0.444,0.62,3.294,0.889,0.0,0.875,0,0,0.9,0.3,0.444,0.625,0.143,0.727,0.857,0.857
JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,3.0,3.0,1.714,1.214,2.125,0.538,0.833,0,,0.909,0.636,0.714,0.25,0.875,0.444,0.62,3.294,0.889,0.0,0.875,0,0,0.9,0.3,0.444,0.625,0.143,0.727,0.857,0.857
ANFW02000036_1:21692-23066+,3.0,3.0,1.714,1.25,1.7,0.462,0.846,0.909,0.909,,0.5,0.818,0.455,0.824,0.5,0.636,3.8,1.75,0.5,1.2,0,0,0.769,0.583,0.571,0.625,0.333,2.0,3.0,3.0
MTJM01000036_1:21699-23073+,3.0,3.0,1.714,1.25,1.7,0.462,0.75,0.636,0.636,0.5,,0.615,0.368,0.765,0.459,0.636,4.308,1.0,0.25,1.0,0,0,0.833,0.6,0.579,0.625,0.3,1.0,1.25,1.25
JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,3.0,3.0,1.714,1.161,1.889,0.462,0.917,0.714,0.714,0.818,0.615,,0.5,0.6,0.419,0.608,3.167,1.167,0.5,1.143,0,0,0.571,0.778,0.5,0.3,0.462,0.75,0.857,0.857
VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,3.0,3.0,1.333,1.097,1.889,0.467,0.692,0.25,0.25,0.455,0.368,0.5,,0.56,0.372,0.578,3.056,0.444,0.0,0.412,0.0,0.0,0.727,0.167,0.261,0.5,0.214,0.421,0.417,0.417
NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,3.0,3.0,2.8,1.25,2.0,0.429,1.308,0.875,0.875,0.824,0.765,0.6,0.56,,0.556,0.654,3.0,0.684,0.167,0.667,0.0,0.0,0.875,0.6,0.762,1.5,0.471,0.6,0.909,0.909
VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,1.2,1.2,2.0,1.214,2.0,0.636,0.613,0.444,0.444,0.5,0.459,0.419,0.372,0.556,,0.654,1.806,0.538,0.0,0.52,0,0,0.581,0.318,0.318,0.35,0.25,0.459,0.484,0.484
JAJMCQ010000818_1:6611-7955-,2.333,2.333,2.667,1.318,1.778,0.545,0.698,0.62,0.62,0.636,0.636,0.608,0.578,0.654,0.654,,1.267,0.543,0.412,0.536,0.0,0.0,0.545,0.623,0.595,0.56,0.627,0.615,0.593,0.593
JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,3.0,3.0,1.857,1.269,3.75,0.462,7.25,3.294,3.294,3.8,4.308,3.167,3.056,3.0,1.806,1.267,,3.294,0.2,3.438,0,0,5.6,2.917,2.591,6.5,2.917,3.438,4.818,4.818
ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,2.0,2.0,1.333,1.133,1.7,0.462,0.833,0.889,0.889,1.75,1.0,1.167,0.444,0.684,0.538,0.543,3.294,,0.5,1.0,0,0,0.667,0.5,0.6,0.714,0.25,1.0,Inf,Inf
JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,0,0,0,1.5,2.333,0.538,0,0.0,0.0,0.5,0.25,0.5,0.0,0.167,0.0,0.412,0.2,0.5,,0.5,0,0,0,0.5,0.0,0,0.0,0.333,0,0
MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,2.0,2.0,1.333,1.138,1.7,0.462,0.833,0.875,0.875,1.2,1.0,1.143,0.412,0.667,0.52,0.536,3.438,1.0,0.5,,0,0,0.667,0.429,0.571,0.714,0.182,1.0,Inf,Inf
JAJMCQ010005592_1:0-48+,0,0,0,0,2.333,0.333,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,,0,0,Inf,0,0,0,0,0,0
JAJMCQ010002651_1:0-48+,0,0,0,0,2.333,0.333,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,,0,Inf,0,0,0,0,0,0
JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,3.0,3.0,2.8,1.444,1.429,0,1.083,0.9,0.9,0.769,0.833,0.571,0.727,0.875,0.581,0.545,5.6,0.667,0,0.667,0,0,,0.6,0.714,0.875,0.333,0.692,0.692,0.692
JAKTYT010002041_1:2-836+,0,0,0,1.138,1.6,0.615,0.667,0.3,0.3,0.583,0.6,0.778,0.167,0.6,0.318,0.623,2.917,0.5,0.5,0.429,Inf,Inf,0.6,,0.667,0,0.25,0.444,0.167,0.167
JAJMIJ010000392_1:4594-5968+,2.5,2.5,1.857,1.065,1.889,0.538,0.778,0.444,0.444,0.571,0.579,0.5,0.261,0.762,0.318,0.595,2.591,0.6,0.0,0.571,0,0,0.714,0.667,,0.0,0.231,0.444,0.462,0.462
JAKTYT010006626_1:142-799+,1.667,1.667,1.857,0,4.0,0,0.75,0.625,0.625,0.625,0.625,0.3,0.5,1.5,0.35,0.56,6.5,0.714,0,0.714,0,0,0.875,0,0.0,,0,0.5,0.5,0.5
JAKTYT010005670_1:134-968-,0,0,0,1.179,1.7,0.538,0.375,0.143,0.143,0.333,0.3,0.462,0.214,0.471,0.25,0.627,2.917,0.25,0.0,0.182,0,0,0.333,0.25,0.231,0,,0.273,0.0,0.0
JAKTUL010000268_1:4750-6124+,1.667,1.667,1.857,1.133,1.7,0.462,0.786,0.727,0.727,2.0,1.0,0.75,0.421,0.6,0.459,0.615,3.438,1.0,0.333,1.0,0,0,0.692,0.444,0.444,0.5,0.273,,0,0
MTJM01000008_1:0-1059-,1.667,1.667,1.857,1.15,1.429,0,0.786,0.857,0.857,3.0,1.25,0.857,0.417,0.909,0.484,0.593,4.818,Inf,0,Inf,0,0,0.692,0.167,0.462,0.5,0.0,0,,0
ANFW02000008_1:0-1059-,1.667,1.667,1.857,1.15,1.429,0,0.786,0.857,0.857,3.0,1.25,0.857,0.417,0.909,0.484,0.593,4.818,Inf,0,Inf,0,0,0.692,0.167,0.462,0.5,0.0,0,0,

Overall Omega,0.933
