Synonymous Differences
,CP076879_1:20470-21730-,CP076942_1:20467-21727-,CP076970_1:20468-21728-,CP076984_1:1711305-1712565+,CP076981_1:18594-19854-,CP126449_2:1671128-1672388+,CP060341_1:20632-21892-,CP126635_2:1538315-1539575+,CP050675_1:1691728-1692988+,CP076879_1:21782-21911-,CP076942_1:21779-21908-,CP076970_1:21780-21909-,CP076984_1:1711124-1711253+,CP076981_1:19906-20035-,CP126449_2:1670947-1671076+,CP060341_1:21944-22073-,CP126635_2:1538134-1538263+,CP050675_1:1691547-1691700+
CP050675_1:1691728-1692988+,10,10,10,10,10,10,10,9,0,32,32,32,32,32,32,32,32,37
CP076879_1:21782-21911-,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP076942_1:21779-21908-,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP076970_1:21780-21909-,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP076984_1:1711124-1711253+,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP076981_1:19906-20035-,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP126449_2:1670947-1671076+,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP060341_1:21944-22073-,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,1,3
CP126635_2:1538134-1538263+,32,32,32,32,32,32,32,32,32,1,1,1,1,1,1,1,0,4
CP050675_1:1691547-1691700+,37,37,37,37,37,37,37,37,37,3,3,3,3,3,3,3,4,0

Omega (dN/dS)
,CP076879_1:20470-21730-,CP076942_1:20467-21727-,CP076970_1:20468-21728-,CP076984_1:1711305-1712565+,CP076981_1:18594-19854-,CP126449_2:1671128-1672388+,CP060341_1:20632-21892-,CP126635_2:1538315-1539575+,CP050675_1:1691728-1692988+,CP076879_1:21782-21911-,CP076942_1:21779-21908-,CP076970_1:21780-21909-,CP076984_1:1711124-1711253+,CP076981_1:19906-20035-,CP126449_2:1670947-1671076+,CP060341_1:21944-22073-,CP126635_2:1538134-1538263+,CP050675_1:1691547-1691700+
CP076879_1:20470-21730-,,0,0,0,0,0,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP076942_1:20467-21727-,0,,0,0,0,0,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP076970_1:20468-21728-,0,0,,0,0,0,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP076984_1:1711305-1712565+,0,0,0,,0,0,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP076981_1:18594-19854-,0,0,0,0,,0,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP126449_2:1671128-1672388+,0,0,0,0,0,,0,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP060341_1:20632-21892-,0,0,0,0,0,0,,Inf,0.909,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP126635_2:1538315-1539575+,Inf,Inf,Inf,Inf,Inf,Inf,Inf,,0.818,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP050675_1:1691728-1692988+,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.818,,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.625
CP076879_1:21782-21911-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,,0,0,0,0,0,0,Inf,3.0
CP076942_1:21779-21908-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,,0,0,0,0,0,Inf,3.0
CP076970_1:21780-21909-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,0,,0,0,0,0,Inf,3.0
CP076984_1:1711124-1711253+,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,0,0,,0,0,0,Inf,3.0
CP076981_1:19906-20035-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,0,0,0,,0,0,Inf,3.0
CP126449_2:1670947-1671076+,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,0,0,0,0,,0,Inf,3.0
CP060341_1:21944-22073-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,0,0,0,0,0,,Inf,3.0
CP126635_2:1538134-1538263+,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,,Inf
CP050675_1:1691547-1691700+,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,4.625,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Inf,

